traj_name,length,total_rewards,mean_rewards,final_reward,max_heights,final_heights,REST_state,APPROACH_ABOVE_OBJECT_state,APPROACH_OBJECT_state,GRASP_OBJECT_state,LIFT_OBJECT_state
lift_n_1_success_ep2,155,10.662070411723107,0.06878755104337489,0.5830333232879639,0.03305686265230179,0.014999999664723873,26,36,36,41,16
lift_n_1_success_ep5,206,48.18336528446525,0.23389983147798668,0.5961546301841736,0.0342828705906868,0.014999999664723873,26,36,36,41,67
lift_n_1_success_ep8,156,11.560378944966942,0.07410499323696758,0.634814977645874,0.034768521785736084,0.014999999664723873,26,36,36,41,17
lift_n_1_success_ep13,257,85.11746673285961,0.3311963686103487,0.561953067779541,0.03294049948453903,0.014999999664723873,26,36,36,41,118
lift_n_1_success_ep16,145,4.249123653862625,0.029304301061121554,0.6428664326667786,0.029721561819314957,0.014999999664723873,26,36,36,41,6
lift_n_1_success_ep18,259,86.62271426757798,0.3344506342377528,0.67735356092453,0.034141454845666885,0.014999999664723873,26,36,36,41,120
lift_n_1_success_ep20,157,12.136476673651487,0.0773023991952324,0.6544087529182434,0.03438442945480347,0.014999999664723873,26,36,36,41,18
lift_n_1_success_ep23,206,48.30996611947194,0.2345143986382133,0.5793243646621704,0.03154224529862404,0.014999999664723873,26,36,36,41,67
lift_n_1_success_ep28,207,48.72504243021831,0.23538667840685173,0.5903917551040649,0.033833835273981094,0.014999999664723873,26,36,36,41,68
lift_n_1_success_ep31,155,11.224375506397337,0.07241532584772475,0.5407856702804565,0.03416380658745766,0.014999999664723873,26,36,36,41,16
lift_n_1_success_ep34,155,10.523826368153095,0.06789565398808449,0.5720349550247192,0.031581420451402664,0.014999999664723873,26,36,36,41,16
lift_n_1_success_ep36,156,11.815702913794667,0.0757416853448376,0.6207887530326843,0.03488343581557274,0.014999999664723873,26,36,36,41,17
lift_n_1_success_ep38,257,84.72346782730892,0.32966329893894525,0.5639517307281494,0.034920111298561096,0.014999999664723873,26,36,36,41,118
lift_n_1_success_ep41,208,49.66789319831878,0.2387879480688403,0.6230522990226746,0.03498746082186699,0.014999999664723873,26,36,36,41,69
lift_n_1_success_ep45,206,47.920225533656776,0.23262245404687756,0.6139540076255798,0.032243676483631134,0.014999999664723873,26,36,36,41,67
lift_n_1_success_ep51,146,3.7579131168313324,0.025739130937200906,0.5681043267250061,0.03446173295378685,0.014999999664723873,26,36,36,41,7
lift_n_1_success_ep53,155,9.633534776745364,0.06215183726932493,0.5689520835876465,0.03224792331457138,0.014999999664723873,26,36,36,41,16
lift_n_1_success_ep56,206,47.183385672047734,0.22904556151479483,0.49600890278816223,0.031472399830818176,0.014999999664723873,26,36,36,41,67
lift_n_1_success_ep58,206,47.35868066013791,0.22989650805892187,0.5554592609405518,0.033466823399066925,0.014999999664723873,26,36,36,41,67
lift_n_1_success_ep60,156,11.054316936293617,0.07086100600188217,0.6136578321456909,0.033827733248472214,0.014999999664723873,26,36,36,41,17
lift_n_1_success_ep62,156,10.545052262023091,0.06759648885912238,0.6020107865333557,0.03371337801218033,0.014999999664723873,26,36,36,41,17
lift_n_1_success_ep64,257,84.44538502441719,0.3285812646864482,0.56781405210495,0.03181558847427368,0.014999999664723873,26,36,36,41,118
lift_n_1_success_ep66,206,47.10074472054839,0.2286443918473223,0.5718646049499512,0.034961193799972534,0.014999999664723873,26,36,36,41,67
lift_n_1_success_ep68,257,84.68613173183985,0.3295180223028788,0.5949169993400574,0.03152652829885483,0.014999999664723873,26,36,36,41,118
lift_n_1_success_ep72,156,11.026066531427205,0.0706799136629949,0.5987508296966553,0.0347563661634922,0.014999999664723873,26,36,36,41,17
lift_n_1_success_ep74,156,10.138615529984236,0.06499112519220664,0.5938948392868042,0.033657122403383255,0.014999999664723873,26,36,36,41,17
lift_n_1_success_ep76,206,47.45192190608941,0.23034913546645344,0.537295401096344,0.03217444196343422,0.014999999664723873,26,36,36,41,67
lift_n_1_success_ep78,257,84.02967658522539,0.32696372212149954,0.5103833675384521,0.0316799134016037,0.014999999664723873,26,36,36,41,118
lift_n_1_success_ep80,155,9.564274107571691,0.06170499424239801,0.5323570370674133,0.031658004969358444,0.014999999664723873,26,36,36,41,16
lift_n_1_success_ep82,257,85.25638651661575,0.33173691251601456,0.5555582642555237,0.03300558030605316,0.014999999664723873,26,36,36,41,118
lift_n_1_success_ep84,207,47.91290881042369,0.23146332758658786,0.5464327335357666,0.0342935174703598,0.014999999664723873,26,36,36,41,68
lift_n_1_success_ep88,207,47.93989935005084,0.23159371666691225,0.57315993309021,0.034310437738895416,0.014999999664723873,26,36,36,41,68
lift_n_1_success_ep90,206,46.597172876121476,0.22619986833068678,0.5069188475608826,0.033094342797994614,0.014999999664723873,26,36,36,41,67
lift_n_1_success_ep93,155,9.740961960051209,0.06284491587129812,0.5364577770233154,0.031926751136779785,0.014999999664723873,26,36,36,41,16
lift_n_1_success_ep95,309,121.16886219661683,0.39213224011850106,0.5766444802284241,0.03446958586573601,0.014999999664723873,26,36,36,41,170
lift_n_1_success_ep97,155,9.353475688258186,0.0603450044403754,0.5390939712524414,0.03319426253437996,0.014999999664723873,26,36,36,41,16
lift_n_1_success_ep99,207,47.87088908418082,0.23126033374000396,0.6112147569656372,0.034091196954250336,0.014999999664723873,26,36,36,41,68
lift_n_1_success_ep102,155,9.614725744817406,0.06203048867624133,0.519565224647522,0.03456994891166687,0.014999999664723873,26,36,36,41,16
lift_n_1_success_ep107,155,9.448784436099231,0.060959899587736975,0.5565363764762878,0.03244032338261604,0.014999999664723873,26,36,36,41,16
lift_n_1_success_ep109,155,9.527149397647008,0.06146547998481941,0.557053804397583,0.030818115919828415,0.014999999664723873,26,36,36,41,16
lift_n_1_success_ep111,207,48.22289543505758,0.23296084751235546,0.5970681309700012,0.03433272987604141,0.014999999664723873,26,36,36,41,68
lift_n_1_success_ep113,257,83.95221222913824,0.326662304393534,0.5493884682655334,0.034504909068346024,0.014999999664723873,26,36,36,41,118
lift_n_1_success_ep115,155,10.259658491471782,0.06619134510626956,0.5944315195083618,0.031923308968544006,0.014999999664723873,26,36,36,41,16
lift_n_1_success_ep119,207,47.12757256953046,0.22766943270304568,0.6213591694831848,0.03349178284406662,0.014999999664723873,26,36,36,41,68
lift_n_1_success_ep121,155,9.735862756380811,0.06281201778310201,0.5347571969032288,0.03491263836622238,0.014999999664723873,26,36,36,41,16
lift_n_1_success_ep124,145,2.9316375721246004,0.02021819015258345,0.5499618053436279,0.03262598067522049,0.014999999664723873,26,36,36,41,6
lift_n_1_success_ep129,145,2.201675647404045,0.01518396998209686,0.5287205576896667,0.02743670530617237,0.014999999664723873,26,36,36,41,6
lift_n_1_success_ep132,155,9.763287337962538,0.06298895056750024,0.5260404944419861,0.03409720957279205,0.014999999664723873,26,36,36,41,16
lift_n_1_success_ep134,156,10.486203047446907,0.06721925030414684,0.6401705145835876,0.034523848444223404,0.014999999664723873,26,36,36,41,17
lift_n_1_success_ep136,206,47.10337428795174,0.2286571567376298,0.5585470795631409,0.03160173445940018,0.014999999664723873,26,36,36,41,67
lift_n_1_success_ep139,155,10.070225363131613,0.0649691958911717,0.53839111328125,0.03239961341023445,0.014999999664723873,26,36,36,41,16
lift_n_1_success_ep141,145,2.212448097532615,0.015258262741604241,0.5500292778015137,0.029783811420202255,0.014999999664723873,26,36,36,41,6
lift_n_1_success_ep143,206,47.69525188440457,0.23153034895342023,0.5293051600456238,0.03186411038041115,0.014999999664723873,26,36,36,41,67
lift_n_1_success_ep145,155,9.723340737633407,0.06273123056537681,0.5905218124389648,0.03148657828569412,0.014999999664723873,26,36,36,41,16
lift_n_1_success_ep148,206,46.6652534478344,0.22653035654288545,0.553327739238739,0.032282792031764984,0.014999999664723873,26,36,36,41,67
lift_n_1_success_ep151,145,2.7041121176443994,0.018649049087202753,0.5536543130874634,0.02987382560968399,0.014999999664723873,26,36,36,41,6
lift_n_1_success_ep153,257,84.32614170736633,0.3281172829080402,0.544520914554596,0.03437036648392677,0.014999999664723873,26,36,36,41,118
lift_n_1_success_ep155,155,9.377446225844324,0.060499653069963376,0.563748836517334,0.031537797302007675,0.014999999664723873,26,36,36,41,16
lift_n_1_success_ep157,146,3.903978983173147,0.026739582076528403,0.5827654004096985,0.033527303487062454,0.014999999664723873,26,36,36,41,7
lift_n_1_success_ep159,157,11.214752317871898,0.07143154342593566,0.6608036160469055,0.03427814692258835,0.014999999664723873,26,36,36,41,18
lift_n_1_success_ep162,145,2.5266394522041082,0.01742509967037316,0.5092120170593262,0.029079986736178398,0.014999999664723873,26,36,36,41,6
lift_n_1_success_ep165,146,4.0450010960921645,0.027705486959535373,0.5914138555526733,0.034228745847940445,0.014999999664723873,26,36,36,41,7
lift_n_1_success_ep167,146,3.8471927668433636,0.026350635389338108,0.5801537036895752,0.033746153116226196,0.014999999664723873,26,36,36,41,7
lift_n_1_success_ep169,207,47.63031302951276,0.23009813057735634,0.5775752663612366,0.03371245786547661,0.014999999664723873,26,36,36,41,68
lift_n_1_success_ep171,206,46.995989956427366,0.22813587357489012,0.5174471735954285,0.03185759112238884,0.014999999664723873,26,36,36,41,67
lift_n_1_success_ep173,147,4.8951969225890934,0.03330065933734077,0.701318085193634,0.03449533134698868,0.014999999664723873,26,36,36,41,8
lift_n_1_success_ep175,258,84.92664853669703,0.32917305634378696,0.6345654129981995,0.03437002748250961,0.014999999664723873,26,36,36,41,119
lift_n_1_success_ep178,310,123.02402841346338,0.3968517045595593,0.6487732529640198,0.03463876247406006,0.014999999664723873,26,36,36,41,171
lift_n_1_success_ep182,156,10.41846025455743,0.0667850016317784,0.582675039768219,0.0343543104827404,0.014999999664723873,26,36,36,41,17
lift_n_1_success_ep184,257,84.06150346435606,0.32708756211811696,0.5549763441085815,0.033699072897434235,0.014999999664723873,26,36,36,41,118
lift_n_1_success_ep188,144,2.1988888890482485,0.015270061729501726,0.48068922758102417,0.02418484538793564,0.014999999664723873,26,36,36,41,5
lift_n_1_success_ep190,156,9.742011494003236,0.06244879162822587,0.6081921458244324,0.033732883632183075,0.014999999664723873,26,36,36,41,17
lift_n_1_success_ep193,206,46.872612685896456,0.22753695478590513,0.5721563100814819,0.03321244195103645,0.014999999664723873,26,36,36,41,67
lift_n_1_success_ep196,206,47.50418951874599,0.2306028617414854,0.5318359136581421,0.03246472030878067,0.014999999664723873,26,36,36,41,67
lift_n_1_success_ep198,206,46.53069884190336,0.22587717884419106,0.5449020266532898,0.032248567789793015,0.014999999664723873,26,36,36,41,67
lift_n_1_success_ep200,360,159.71548046614043,0.44365411240594566,0.576356053352356,0.03472842276096344,0.014999999664723873,26,36,36,41,221
lift_n_1_success_ep202,308,120.54115195851773,0.3913673764886939,0.531438410282135,0.03490065783262253,0.014999999664723873,26,36,36,41,169
lift_n_1_success_ep207,360,158.97579600661993,0.441599433351722,0.5924052596092224,0.03469126299023628,0.014999999664723873,26,36,36,41,221
lift_n_1_success_ep209,156,10.372689120238647,0.06649159692460671,0.6399854421615601,0.03386147692799568,0.014999999664723873,26,36,36,41,17
lift_n_1_success_ep211,156,10.406872003572062,0.06671071797161578,0.5772128701210022,0.03434745594859123,0.014999999664723873,26,36,36,41,17
lift_n_1_success_ep214,257,83.96749084815383,0.3267217542729721,0.5629698634147644,0.031957704573869705,0.014999999664723873,26,36,36,41,118
lift_n_1_success_ep216,208,47.70175157347694,0.2293353441032545,0.6601769924163818,0.03478598967194557,0.014999999664723873,26,36,36,41,69
lift_n_1_success_ep222,208,48.18684065435082,0.2316675031459174,0.5824989080429077,0.03438335657119751,0.014999999664723873,26,36,36,41,69
lift_n_1_success_ep224,207,47.82163629657589,0.23102239756799947,0.5726897716522217,0.034710612148046494,0.014999999664723873,26,36,36,41,68
lift_n_1_success_ep230,155,9.95540995337069,0.06422845131206897,0.5769969820976257,0.03305409103631973,0.014999999664723873,26,36,36,41,16
lift_n_1_success_ep232,309,122.09940942330286,0.3951437198165141,0.5808309316635132,0.03379695862531662,0.014999999664723873,26,36,36,41,170
lift_n_1_success_ep235,207,47.56527969241142,0.22978395986672184,0.5991411209106445,0.034861691296100616,0.014999999664723873,26,36,36,41,68
lift_n_1_success_ep237,207,47.16086484445259,0.22783026494904632,0.5775061845779419,0.03326738253235817,0.014999999664723873,26,36,36,41,68
lift_n_1_success_ep239,155,9.629166479688138,0.062123654707665406,0.5162429213523865,0.03157328441739082,0.014999999664723873,26,36,36,41,16
lift_n_1_success_ep242,206,46.9221706087701,0.22777752722703934,0.561411440372467,0.03224271163344383,0.014999999664723873,26,36,36,41,67
lift_n_1_success_ep248,155,10.000189058016986,0.0645173487613999,0.574405312538147,0.03139907866716385,0.014999999664723873,26,36,36,41,16
lift_n_1_success_ep250,155,10.000973510555923,0.06452240974552208,0.5941181182861328,0.032694242894649506,0.014999999664723873,26,36,36,41,16
lift_n_1_success_ep252,359,158.1092323823832,0.4404156890874184,0.5180943012237549,0.03275153413414955,0.014999999664723873,26,36,36,41,220
lift_n_1_success_ep254,257,83.36109939427115,0.32436225445241695,0.5078639388084412,0.03256337344646454,0.014999999664723873,26,36,36,41,118
lift_n_1_success_ep256,156,10.828746436862275,0.06941504126193766,0.5745330452919006,0.034800317138433456,0.014999999664723873,26,36,36,41,17
lift_n_1_success_ep260,157,11.261242287699133,0.07172765788343397,0.601584255695343,0.03459744527935982,0.014999999664723873,26,36,36,41,18
lift_n_1_success_ep262,206,47.53351205820218,0.23074520416602998,0.5382565259933472,0.0324278324842453,0.014999999664723873,26,36,36,41,67
lift_n_1_success_ep264,155,9.54002527310513,0.06154855014906535,0.5377438068389893,0.032124508172273636,0.014999999664723873,26,36,36,41,16
lift_n_1_success_ep266,258,85.00914884591475,0.3294928249841657,0.610479474067688,0.03396155685186386,0.014999999664723873,26,36,36,41,119
lift_n_1_success_ep268,206,47.09458454628475,0.22861448808876092,0.5466685891151428,0.03263923525810242,0.014999999664723873,26,36,36,41,67
